1,NO,Одржување на настава - од прв циклус студии,0.04
2,NO,Одржување на настава - од втор циклус студии,0.05
3,NO,Одржување на настава - од трет циклус студии,0.06
4,NO,Настава во школи и работилници- раководител,1.5
5,NO,Настава во школи и работилници- учесник,1
6,NO,Одржување на вежби,0.3
7,NO,Подготовка на нов предмет - предавања,1
8,NO,Подготовка на нов предмет - вежби,0.5
9,NO,Консултации со студенти,0.002
10,NO,Ментор на дипломска работа,0.2
11,NO,Ментор на специјалистичка работа,1
12,NO,Член на комисија за оцена или одбрана на докторат,0.7
13,NO,Член на комисија за оцена или одбрана на магистратура,0.3
14,NO,Член на комисија за оцена или одбрана на специјалистичка работа ,0.2
15,NO,Член на комисија за оцена или одбрана на дипломска работа,0.1
16,NO,Позитивно рецензиран универзитетски учебник - автор,8
17,NO,Позитивно рецензиран универзитетски учебник - коавтор,6
18,NO,Учебник издаден и во употреба на универзитет во странство - автор,10
19,NO,Учебник издаден и во употреба на универзитет во странство - коавтор,8
20,NO,Изменето и дополнето издание на учебник - автор,4
21,NO,Изменето и дополнето издание на учебник - коавтор,3
22,NO,Позитивно рецензирана збирка задачи или практикум - автор,4
23,NO,Позитивно рецензирана збирка задачи или практикум - коавтор,3
24,NO,Научно-популарна книга - автор,6
25,NO,Научно-популарна книга - коавтор,4
26,NO,Интерна скрипта од вежби,3
27,NO,Научно-популарна или наставно-историска статија во стручно-методско списание,1
28,NO,Рецензент на универзитетски учебник,1
29,NO,Пакет материјали за одреден предмет,1
30,NO,Уредник на зборник на текстови за одреден предмет,2
31,NI,Ментор на докторска дисертација,5
32,NI,Ko-Ментор на докторска дисертација,2.5
33,NI,Ментор на магистерска работа,2
34,NI,Ko-Ментор на магистерска работа,1
35,NI,Раководител на национален научен проект,6
36,NI,Раководител на меѓународен научен проект,9
37,NI,Национален координатор на меѓународен научен проект,6
38,NI,Учесник во национален научен проект,3
39,NI,Учесник во меѓународен научен проект,5
40,NI,Монографија,8
41,NI,Монографија објавена во странство,12
42,NI,Дел од  монографија,4
43,NI,Дел од монографија објавен во странство,6
44,NI,Труд со оригинални научни резултати објавен во научно списание кое нема импакт-фактор за годината во која е објавен трудот во кое трудовите што се објавуваат подлежат на рецензија и кое е индексирано во најмалку една електронска база на списанија со трудови достапна на интернет како што се: Еbsco; Emerald; Scopus; Web of Science; Journal Citation Report; SCImago Journal Rank MathSciNet (Mathematical Reviews) Zentralblatt fur Mathematik и Реферативный журнал "Математика" или друга база на списанија која ќе ја утврди Националниот совет за високо образование,5
45,NI,Труд со оригинални научни резултати објавен во научно списание кое има импакт-фактор за годината во која е објавен трудо во кое трудовите што се објавуваат подлежат на рецензија и кое е индексирано во најмалку една електронска база на списанија со трудови достапна на интернет како што се: Еbsco; Emerald; Scopus; Web of Science; Journal Citation Report; SCImago Journal Rank или друга база на списанија која ќе ја утврди Националниот совет за високо образование,8
46,NI,Труд со оригинални научни резултати објавен во научно списание во кое трудовите што се објавуваат подлежат на рецензија и кое има меѓународен уредувачки одбор во кој учествуваат членови од најмалку три земји при што бројот на членови од една земја не може да надминува две третини од вкупниот број на членови,5
47,NI,Труд со оригинални научни резултати објавен во научно списание во кое трудовите што се објавуваат подлежат на рецензија и кое е објавено во земја членка на Европската Унија и/или ОЕЦД,5
48,NI,Книга или дел од книга рецензирана и објавена во земја членка на Европската Унија и/или ОЕЦД - автор,8
49,NI,Книга или дел од книга рецензирана и објавена во земја членка на Европската Унија и/или ОЕЦД- коавтор,6
50,NI,Преводи на капитални дела во области кои ги утврдува Националниот совет за високо образование и научноистражувачка дејност,5
51,NI,Труд со оригинални научни резултати објавен во научно/стручно списание,3
52,NI,Труд со оригинални научни резултати објавен во стручно/научно популарно списание,2
53,NI,Труд со оригинални научни резултати објавен во стручно/научно- популарно списание со меѓународен уредувачки одбор во кој учествуваат членови од најмалку три земји при што бројот на членови од една земја не може да надминува две третини од вкупниот број на членови,3
54,NI,Труд со оригинални научни/стручни резултати објавен во зборник на трудови од научен/стручен собир,2
55,NI,Труд со оригинални научни/стручни резултати објавен во зборник на трудови од научен/стручен собир со меѓународен уредувачки одбор,3
